Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -14429.5214  -14430.2110       0.6896   444.6
0.0500      -14429.5210  -14430.1133       0.5923   381.8
0.1000      -14429.5217  -14430.3246       0.8030   517.7
0.1500      -14429.5214  -14430.1576       0.6362   410.1
0.2000      -14429.5215  -14430.1010       0.5795   373.6
0.2500      -14429.5208  -14430.0921       0.5712   368.3
0.3000      -14429.5210  -14430.1560       0.6350   409.4
0.3500      -14429.5209  -14430.0305       0.5096   328.5
0.4000      -14429.5213  -14429.9915       0.4702   303.1
0.4500      -14429.5209  -14430.0127       0.4917   317.0
0.5000      -14429.5211  -14430.1837       0.6626   427.2
0.5500      -14429.5210  -14430.0350       0.5140   331.4
0.6000      -14429.5214  -14430.0050       0.4836   311.8
0.6500      -14429.5213  -14430.0931       0.5718   368.6
0.7000      -14429.5207  -14430.0498       0.5291   341.1
0.7500      -14429.5211  -14430.1071       0.5859   377.7
0.8000      -14429.5207  -14429.8571       0.3364   216.9
0.8500      -14429.5216  -14430.1170       0.5954   383.9
0.9000      -14429.5209  -14430.0614       0.5405   348.5
0.9500      -14429.5214  -14430.1993       0.6779   437.1
1.0000      -14429.5208  -14429.9146       0.3938   253.9
1.0500      -14429.5218  -14430.1619       0.6401   412.7
1.1000      -14429.5210  -14430.1137       0.5926   382.1
1.1500      -14429.5209  -14430.0486       0.5278   340.2
1.2000      -14429.5211  -14429.9825       0.4614   297.5
1.2500      -14429.5215  -14430.0826       0.5611   361.8
1.3000      -14429.5211  -14430.1224       0.6012   387.6
1.3500      -14429.5215  -14430.2022       0.6807   438.8
1.4000      -14429.5208  -14429.9650       0.4442   286.4
1.4500      -14429.5217  -14430.1553       0.6335   408.4
1.5000      -14429.5212  -14430.1341       0.6129   395.1
1.5500      -14429.5214  -14430.2003       0.6789   437.7
1.6000      -14429.5206  -14429.9297       0.4091   263.7
1.6500      -14429.5214  -14430.0745       0.5531   356.6
1.7000      -14429.5210  -14430.0748       0.5538   357.0
1.7500      -14429.5211  -14430.0602       0.5391   347.6
1.8000      -14429.5211  -14430.0346       0.5135   331.0
1.8500      -14429.5211  -14429.9881       0.4671   301.1
1.9000      -14429.5213  -14430.1521       0.6308   406.7
1.9500      -14429.5212  -14430.1000       0.5788   373.2
