Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -10510.5276  -10511.5505       1.0229   416.5
0.0500      -10510.5290  -10511.7625       1.2335   502.3
0.1000      -10510.5277  -10511.6257       1.0980   447.1
0.1500      -10510.5280  -10511.6576       1.1296   459.9
0.2000      -10510.5279  -10511.8321       1.3041   531.0
0.2500      -10510.5283  -10511.5817       1.0533   428.9
0.3000      -10510.5298  -10511.7636       1.2338   502.4
0.3500      -10510.5290  -10511.8669       1.3379   544.8
0.4000      -10510.5281  -10511.6339       1.1058   450.2
0.4500      -10510.5304  -10511.6873       1.1569   471.1
0.5000      -10510.5313  -10511.9287       1.3974   569.0
0.5500      -10510.5267  -10511.6688       1.1422   465.1
0.6000      -10510.5285  -10511.7499       1.2213   497.3
0.6500      -10510.5263  -10511.6168       1.0905   444.0
0.7000      -10510.5290  -10511.7871       1.2581   512.3
0.7500      -10510.5296  -10512.0169       1.4873   605.6
0.8000      -10510.5274  -10511.6377       1.1103   452.1
0.8500      -10510.5262  -10511.5637       1.0375   422.4
0.9000      -10510.5301  -10511.8239       1.2938   526.8
0.9500      -10510.5275  -10511.5730       1.0455   425.7
1.0000      -10510.5287  -10511.5525       1.0238   416.9
1.0500      -10510.5300  -10512.0015       1.4715   599.1
1.1000      -10510.5276  -10511.4116       0.8840   359.9
1.1500      -10510.5300  -10511.7898       1.2599   513.0
1.2000      -10510.5260  -10511.5313       1.0053   409.4
1.2500      -10510.5277  -10511.7102       1.1824   481.4
1.3000      -10510.5272  -10511.8150       1.2879   524.4
1.3500      -10510.5304  -10511.9193       1.3889   565.5
1.4000      -10510.5288  -10511.7287       1.1998   488.5
1.4500      -10510.5270  -10511.8008       1.2738   518.7
1.5000      -10510.5283  -10511.6389       1.1106   452.2
1.5500      -10510.5283  -10511.7250       1.1967   487.3
1.6000      -10510.5282  -10511.8232       1.2950   527.3
1.6500      -10510.5271  -10511.6592       1.1321   461.0
1.7000      -10510.5292  -10511.7062       1.1770   479.3
1.7500      -10510.5263  -10511.7407       1.2144   494.5
1.8000      -10510.5274  -10511.7195       1.1920   485.4
1.8500      -10510.5271  -10511.7031       1.1760   478.9
1.9000      -10510.5262  -10511.3524       0.8263   336.4
1.9500      -10510.5289  -10511.7061       1.1772   479.3
2.0000      -10510.5294  -10511.7420       1.2126   493.8
2.0500      -10510.5290  -10511.6524       1.1234   457.4
2.1000      -10510.5282  -10511.8607       1.3325   542.6
