Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17636.5039  -17637.9902       1.4863   547.5
0.0050      -17636.2707  -17637.8281       1.5575   573.8
0.0100      -17636.3559  -17637.9941       1.6382   603.5
0.0150      -17636.2967  -17638.0508       1.7541   646.2
0.0200      -17636.4910  -17638.0762       1.5851   584.0
0.0250      -17636.6633  -17637.9629       1.2996   478.8
0.0300      -17636.7895  -17637.8965       1.1070   407.8
0.0350      -17636.9888  -17638.0137       1.0249   377.6
0.0400      -17637.1023  -17638.2148       1.1126   409.9
0.0450      -17637.0026  -17638.3457       1.3431   494.8
0.0500      -17636.9735  -17638.2910       1.3175   485.4
0.0550      -17636.8787  -17638.2188       1.3401   493.7
0.0600      -17636.8653  -17638.1797       1.3144   484.2
0.0650      -17636.9274  -17638.0039       1.0765   396.6
0.0700      -17636.8610  -17637.9043       1.0433   384.4
0.0750      -17636.6236  -17638.0078       1.3843   510.0
0.0800      -17636.4540  -17638.0078       1.5538   572.4
0.0850      -17636.3512  -17638.0371       1.6859   621.1
0.0900      -17636.1611  -17638.2363       2.0753   764.5
0.0950      -17636.4853  -17637.9629       1.4776   544.4
0.1000      -17636.4518  -17638.0156       1.5638   576.1
0.1050      -17636.6695  -17638.1582       1.4887   548.4
0.1100      -17636.6037  -17638.1855       1.5819   582.8
0.1150      -17636.8608  -17638.1055       1.2447   458.5
0.1200      -17636.9842  -17638.2812       1.2970   477.8
0.1250      -17637.1238  -17638.2402       1.1164   411.3
0.1300      -17637.3705  -17638.2031       0.8326   306.7
0.1350      -17637.2693  -17638.2852       1.0158   374.2
0.1400      -17637.2527  -17638.3730       1.1204   412.7
0.1450      -17637.0782  -17638.3594       1.2811   472.0
0.1500      -17636.8301  -17638.4121       1.5820   582.8
0.1550      -17636.6909  -17638.2344       1.5435   568.6
0.1600      -17636.5464  -17638.0078       1.4614   538.4
0.1650      -17636.6175  -17638.0703       1.4528   535.2
0.1700      -17636.4897  -17637.9238       1.4341   528.3
