Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -10975.3450  -10976.3679       1.0229   416.5
0.0500      -10975.3458  -10976.4202       1.0743   437.4
0.1000      -10975.3483  -10976.6168       1.2685   516.5
0.1500      -10975.3472  -10976.4213       1.0740   437.3
0.2000      -10975.3460  -10976.5817       1.2358   503.2
0.2500      -10975.3489  -10976.7091       1.3602   553.8
0.3000      -10975.3472  -10976.7645       1.4173   577.1
0.3500      -10975.3438  -10976.3762       1.0324   420.4
0.4000      -10975.3477  -10976.5056       1.1579   471.5
0.4500      -10975.3466  -10976.6347       1.2881   524.5
0.5000      -10975.3444  -10976.2992       0.9548   388.8
0.5500      -10975.3466  -10976.6173       1.2708   517.4
0.6000      -10975.3482  -10976.5122       1.1640   474.0
0.6500      -10975.3465  -10976.5757       1.2292   500.5
0.7000      -10975.3434  -10976.1799       0.8365   340.6
0.7500      -10975.3470  -10976.3463       0.9993   406.9
0.8000      -10975.3463  -10976.4020       1.0557   429.8
0.8500      -10975.3466  -10976.4176       1.0710   436.1
0.9000      -10975.3445  -10976.6085       1.2640   514.7
0.9500      -10975.3480  -10976.5048       1.1569   471.1
1.0000      -10975.3456  -10976.4423       1.0967   446.6
1.0500      -10975.3461  -10976.4257       1.0795   439.6
1.1000      -10975.3470  -10976.5633       1.2163   495.3
1.1500      -10975.3490  -10976.4976       1.1487   467.7
1.2000      -10975.3449  -10976.4008       1.0559   429.9
1.2500      -10975.3475  -10976.6023       1.2548   510.9
1.3000      -10975.3475  -10976.7298       1.3823   562.8
1.3500      -10975.3470  -10976.5140       1.1671   475.2
1.4000      -10975.3444  -10976.3703       1.0259   417.7
1.4500      -10975.3494  -10976.4428       1.0934   445.2
1.5000      -10975.3455  -10976.4409       1.0954   446.0
1.5500      -10975.3451  -10976.4267       1.0816   440.4
1.6000      -10975.3487  -10976.5507       1.2020   489.4
1.6500      -10975.3438  -10976.3909       1.0471   426.4
1.7000      -10975.3467  -10976.3542       1.0075   410.2
1.7500      -10975.3456  -10976.4459       1.1003   448.0
1.8000      -10975.3477  -10976.3966       1.0489   427.1
1.8500      -10975.3458  -10976.5505       1.2047   490.5
1.9000      -10975.3462  -10976.7407       1.3945   567.8
1.9500      -10975.3481  -10976.6194       1.2712   517.6
2.0000      -10975.3452  -10976.2601       0.9149   372.5
2.0500      -10975.3447  -10976.1992       0.8545   347.9
2.1000      -10975.3482  -10976.5904       1.2422   505.8
2.1500      -10975.3449  -10976.4337       1.0887   443.3
2.2000      -10975.3467  -10976.4405       1.0938   445.4
2.2500      -10975.3499  -10976.7427       1.3929   567.1
2.3000      -10975.3450  -10976.5979       1.2530   510.2
2.3500      -10975.3467  -10976.4694       1.1228   457.2
2.4000      -10975.3496  -10976.5658       1.2162   495.2
2.4500      -10975.3447  -10976.6408       1.2961   527.7
2.5000      -10975.3467  -10976.4371       1.0904   444.0
2.5500      -10975.3478  -10976.5829       1.2351   502.9
2.6000      -10975.3448  -10976.4243       1.0796   439.6
2.6500      -10975.3479  -10976.5620       1.2142   494.4
2.7000      -10975.3465  -10976.4979       1.1514   468.8
2.7500      -10975.3468  -10976.4302       1.0833   441.1
2.8000      -10975.3461  -10976.4855       1.1394   463.9
2.8500      -10975.3471  -10976.6316       1.2845   523.0
2.9000      -10975.3466  -10976.4527       1.1062   450.4
2.9500      -10975.3447  -10976.2270       0.8823   359.2
3.0000      -10975.3463  -10976.4690       1.1227   457.1
3.0500      -10975.3485  -10976.6269       1.2784   520.5
3.1000      -10975.3430  -10976.0417       0.6987   284.5
3.1500      -10975.3461  -10976.5219       1.1758   478.8
3.2000      -10975.3468  -10976.5134       1.1665   475.0
3.2500      -10975.3450  -10976.3975       1.0525   428.5
3.3000      -10975.3456  -10976.4001       1.0544   429.3
3.3500      -10975.3476  -10976.7395       1.3918   566.7
3.4000      -10975.3461  -10976.3386       0.9925   404.1
3.4500      -10975.3455  -10976.2874       0.9420   383.5
3.5000      -10975.3474  -10976.6832       1.3358   543.9
3.5500      -10975.3476  -10976.7559       1.4083   573.4
3.6000      -10975.3473  -10976.7305       1.3831   563.2
3.6500      -10975.3473  -10976.6366       1.2893   525.0
3.7000      -10975.3486  -10976.8418       1.4932   608.0
3.7500      -10975.3441  -10976.2381       0.8940   364.0
3.8000      -10975.3465  -10976.5587       1.2122   493.6
3.8500      -10975.3478  -10976.5684       1.2207   497.0
3.9000      -10975.3454  -10976.5662       1.2207   497.1
3.9500      -10975.3469  -10976.5217       1.1748   478.4
4.0000      -10975.3478  -10976.5713       1.2235   498.2
4.0500      -10975.3457  -10976.3396       0.9939   404.7
4.1000      -10975.3442  -10976.1105       0.7663   312.0
4.1500      -10975.3480  -10976.5610       1.2130   493.9
4.2000      -10975.3442  -10976.2844       0.9402   382.8
4.2500      -10975.3446  -10976.2392       0.8946   364.3
4.3000      -10975.3462  -10976.3815       1.0353   421.6
4.3500      -10975.3458  -10976.6053       1.2595   512.8
4.4000      -10975.3442  -10976.1298       0.7856   319.9
4.4500      -10975.3472  -10976.5857       1.2385   504.3
4.5000      -10975.3458  -10976.5015       1.1557   470.6
4.5500      -10975.3458  -10976.4641       1.1183   455.3
4.6000      -10975.3474  -10976.4483       1.1009   448.3
4.6500      -10975.3445  -10976.3896       1.0451   425.5
4.7000      -10975.3463  -10976.7161       1.3697   557.7
4.7500      -10975.3470  -10976.4165       1.0694   435.4
4.8000      -10975.3459  -10976.5176       1.1717   477.1
4.8500      -10975.3466  -10976.4732       1.1266   458.7
4.9000      -10975.3465  -10976.7497       1.4032   571.4
4.9500      -10975.3454  -10976.4301       1.0847   441.7
5.0000      -10975.3448  -10976.2144       0.8695   354.0
5.0500      -10975.3484  -10976.6434       1.2950   527.3
5.1000      -10975.3439  -10976.4222       1.0783   439.1
5.1500      -10975.3479  -10976.3392       0.9912   403.6
5.2000      -10975.3476  -10976.3306       0.9831   400.3
5.2500      -10975.3452  -10976.4321       1.0869   442.5
5.3000      -10975.3454  -10976.3528       1.0074   410.2
5.3500      -10975.3455  -10976.3946       1.0490   427.1
5.4000      -10975.3469  -10976.6536       1.3067   532.1
5.4500      -10975.3456  -10976.4747       1.1291   459.7
5.5000      -10975.3477  -10976.5895       1.2418   505.6
5.5500      -10975.3478  -10976.8203       1.4725   599.6
5.6000      -10975.3468  -10976.4554       1.1086   451.4
5.6500      -10975.3462  -10976.5983       1.2521   509.8
5.7000      -10975.3449  -10976.3998       1.0550   429.6
5.7500      -10975.3479  -10976.6473       1.2994   529.1
5.8000      -10975.3456  -10976.4447       1.0991   447.5
5.8500      -10975.3473  -10976.5991       1.2518   509.7
5.9000      -10975.3467  -10976.6116       1.2649   515.0
5.9500      -10975.3465  -10976.3811       1.0346   421.3
6.0000      -10975.3457  -10976.6122       1.2665   515.7
6.0500      -10975.3468  -10976.3641       1.0173   414.2
6.1000      -10975.3457  -10976.4249       1.0792   439.4
6.1500      -10975.3465  -10976.4484       1.1019   448.7
6.2000      -10975.3449  -10976.2545       0.9096   370.4
6.2500      -10975.3460  -10976.3679       1.0218   416.1
6.3000      -10975.3451  -10976.4063       1.0612   432.1
6.3500      -10975.3459  -10976.3511       1.0051   409.3
6.4000      -10975.3480  -10976.6035       1.2555   511.2
6.4500      -10975.3456  -10976.4178       1.0721   436.5
6.5000      -10975.3480  -10976.5349       1.1869   483.3
6.5500      -10975.3451  -10976.6216       1.2765   519.8
6.6000      -10975.3471  -10976.4753       1.1282   459.4
6.6500      -10975.3435  -10976.1688       0.8253   336.0
6.7000      -10975.3492  -10976.5353       1.1862   483.0
6.7500      -10975.3432  -10976.5135       1.1703   476.5
6.8000      -10975.3493  -10976.3645       1.0152   413.4
6.8500      -10975.3461  -10976.3663       1.0202   415.4
6.9000      -10975.3499  -10976.6362       1.2863   523.7
6.9500      -10975.3460  -10976.2328       0.8868   361.1
7.0000      -10975.3467  -10976.3350       0.9883   402.4
7.0500      -10975.3465  -10976.5344       1.1878   483.7
7.1000      -10975.3482  -10976.6042       1.2559   511.4
7.1500      -10975.3509  -10976.4949       1.1440   465.8
7.2000      -10975.3465  -10976.6830       1.3365   544.2
7.2500      -10975.3466  -10976.4434       1.0968   446.6
7.3000      -10975.3475  -10976.6662       1.3187   537.0
7.3500      -10975.3445  -10976.3187       0.9742   396.7
7.4000      -10975.3470  -10976.3763       1.0293   419.1
7.4500      -10975.3473  -10976.5433       1.1960   487.0
7.5000      -10975.3446  -10976.4651       1.1205   456.2
7.5500      -10975.3480  -10976.4742       1.1262   458.6
7.6000      -10975.3476  -10976.5456       1.1980   487.8
7.6500      -10975.3497  -10976.9045       1.5548   633.1
7.7000      -10975.3458  -10976.4063       1.0605   431.8
7.7500      -10975.3460  -10976.4820       1.1360   462.6
7.8000      -10975.3485  -10976.7786       1.4301   582.3
7.8500      -10975.3452  -10976.4477       1.1025   448.9
7.9000      -10975.3473  -10976.5020       1.1547   470.2
7.9500      -10975.3478  -10976.6278       1.2799   521.1
8.0000      -10975.3457  -10976.3241       0.9785   398.4
8.0500      -10975.3469  -10976.5421       1.1952   486.7
8.1000      -10975.3453  -10976.4906       1.1453   466.3
8.1500      -10975.3464  -10976.4490       1.1026   448.9
8.2000      -10975.3460  -10976.4045       1.0585   431.0
8.2500      -10975.3480  -10976.4539       1.1059   450.3
8.3000      -10975.3427  -10976.2922       0.9495   386.6
8.3500      -10975.3502  -10976.7677       1.4175   577.2
8.4000      -10975.3452  -10976.6240       1.2788   520.7
8.4500      -10975.3497  -10976.5384       1.1886   484.0
8.5000      -10975.3436  -10976.3566       1.0130   412.5
8.5500      -10975.3499  -10976.7580       1.4081   573.3
8.6000      -10975.3485  -10976.6199       1.2714   517.7
8.6500      -10975.3474  -10976.6922       1.3448   547.6
8.7000      -10975.3486  -10976.5378       1.1892   484.2
8.7500      -10975.3450  -10976.5311       1.1861   483.0
8.8000      -10975.3525  -10976.6218       1.2693   516.8
8.8500      -10975.3508  -10976.7355       1.3847   563.8
8.9000      -10975.3440  -10976.3746       1.0306   419.6
8.9500      -10975.3497  -10976.5941       1.2443   506.7
9.0000      -10975.3475  -10976.5367       1.1892   484.2
9.0500      -10975.3429  -10976.2231       0.8802   358.4
9.1000      -10975.3489  -10976.6268       1.2779   520.3
9.1500      -10975.3444  -10976.4784       1.1340   461.7
9.2000      -10975.3452  -10976.2401       0.8949   364.4
9.2500      -10975.3474  -10976.5805       1.2331   502.1
9.3000      -10975.3444  -10976.2669       0.9225   375.6
9.3500      -10975.3464  -10976.5491       1.2027   489.7
9.4000      -10975.3459  -10976.3068       0.9608   391.2
9.4500      -10975.3476  -10976.4621       1.1145   453.8
9.5000      -10975.3457  -10976.5435       1.1977   487.7
9.5500      -10975.3463  -10976.3004       0.9541   388.5
9.6000      -10975.3460  -10976.5095       1.1636   473.8
9.6500      -10975.3494  -10976.5588       1.2094   492.4
9.7000      -10975.3470  -10976.4256       1.0786   439.2
9.7500      -10975.3488  -10976.6187       1.2699   517.1
9.8000      -10975.3461  -10976.2589       0.9128   371.7
9.8500      -10975.3449  -10976.4000       1.0551   429.6
9.9000      -10975.3474  -10976.4379       1.0905   444.0
9.9500      -10975.3437  -10976.4545       1.1108   452.3
10.0000     -10975.3498  -10976.7348       1.3850   563.9
10.0500     -10975.3455  -10976.3022       0.9566   389.5
10.1000     -10975.3430  -10976.3297       0.9867   401.7
10.1500     -10975.3454  -10976.3247       0.9793   398.7
10.2000     -10975.3463  -10976.3985       1.0523   428.5
10.2500     -10975.3482  -10976.6097       1.2615   513.6
10.3000     -10975.3475  -10976.4790       1.1314   460.7
10.3500     -10975.3461  -10976.6767       1.3306   541.8
10.4000     -10975.3486  -10976.4951       1.1465   466.8
10.4500     -10975.3457  -10976.5114       1.1657   474.7
10.5000     -10975.3455  -10976.2925       0.9470   385.6
10.5500     -10975.3453  -10976.3096       0.9643   392.6
10.6000     -10975.3474  -10976.7986       1.4512   590.9
10.6500     -10975.3449  -10976.2208       0.8759   356.6
10.7000     -10975.3462  -10976.6892       1.3430   546.8
10.7500     -10975.3467  -10976.5669       1.2202   496.8
10.8000     -10975.3470  -10976.6666       1.3196   537.3
10.8500     -10975.3470  -10976.6540       1.3071   532.2
10.9000     -10975.3456  -10976.2467       0.9011   366.9
10.9500     -10975.3469  -10976.6470       1.3001   529.4
11.0000     -10975.3447  -10976.2735       0.9288   378.2
11.0500     -10975.3451  -10976.3282       0.9831   400.3
11.1000     -10975.3459  -10976.3512       1.0053   409.3
11.1500     -10975.3475  -10976.6558       1.3083   532.7
11.2000     -10975.3457  -10976.7344       1.3887   565.5
11.2500     -10975.3481  -10976.5669       1.2188   496.3
11.3000     -10975.3457  -10976.4446       1.0989   447.5
11.3500     -10975.3453  -10976.4679       1.1225   457.1
11.4000     -10975.3480  -10976.5082       1.1602   472.4
11.4500     -10975.3439  -10976.2055       0.8616   350.8
11.5000     -10975.3456  -10976.4685       1.1229   457.2
11.5500     -10975.3472  -10976.7507       1.4035   571.5
11.6000     -10975.3465  -10976.5163       1.1698   476.3
11.6500     -10975.3460  -10976.4200       1.0740   437.3
