Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -15985.8788  -15987.9360       2.0573   388.2
0.0500      -15985.8812  -15988.2383       2.3571   444.8
0.1000      -15985.8824  -15988.3262       2.4438   461.1
0.1500      -15985.8816  -15988.4182       2.5366   478.6
0.2000      -15985.8800  -15988.1476       2.2675   427.9
0.2500      -15985.8815  -15988.2251       2.3436   442.2
0.3000      -15985.8789  -15988.2866       2.4077   454.3
0.3500      -15985.8801  -15987.9179       2.0378   384.5
0.4000      -15985.8828  -15988.4164       2.5336   478.1
0.4500      -15985.8782  -15988.0079       2.1297   401.9
0.5000      -15985.8788  -15987.9202       2.0414   385.2
0.5500      -15985.8789  -15987.8574       1.9785   373.3
0.6000      -15985.8828  -15988.2649       2.3821   449.5
0.6500      -15985.8812  -15988.3765       2.4954   470.9
0.7000      -15985.8790  -15988.2359       2.3570   444.7
0.7500      -15985.8826  -15988.3757       2.4930   470.4
0.8000      -15985.8808  -15988.2366       2.3558   444.5
0.8500      -15985.8804  -15988.3262       2.4458   461.5
0.9000      -15985.8809  -15988.3701       2.4892   469.7
0.9500      -15985.8807  -15988.1925       2.3118   436.2
1.0000      -15985.8813  -15988.0615       2.1802   411.4
1.0500      -15985.8825  -15988.5654       2.6829   506.2
1.1000      -15985.8822  -15988.2792       2.3971   452.3
1.1500      -15985.8817  -15988.2038       2.3221   438.2
1.2000      -15985.8813  -15988.1904       2.3091   435.7
1.2500      -15985.8812  -15988.3817       2.5005   471.8
1.3000      -15985.8828  -15988.5172       2.6344   497.1
1.3500      -15985.8830  -15988.2486       2.3656   446.4
1.4000      -15985.8822  -15988.3607       2.4784   467.7
1.4500      -15985.8819  -15988.2466       2.3647   446.2
1.5000      -15985.8831  -15988.1927       2.3096   435.8
1.5500      -15985.8822  -15988.1969       2.3146   436.8
1.6000      -15985.8806  -15988.3519       2.4713   466.3
1.6500      -15985.8798  -15988.0232       2.1434   404.4
1.7000      -15985.8816  -15988.2197       2.3381   441.2
1.7500      -15985.8799  -15988.2597       2.3798   449.0
1.8000      -15985.8794  -15988.0659       2.1864   412.6
1.8500      -15985.8797  -15988.3244       2.4448   461.3
1.9000      -15985.8800  -15988.1453       2.2654   427.5
1.9500      -15985.8825  -15988.2791       2.3967   452.2
2.0000      -15985.8830  -15988.5310       2.6480   499.7
2.0500      -15985.8830  -15988.2101       2.3271   439.1
2.1000      -15985.8823  -15988.5039       2.6216   494.7
2.1500      -15985.8807  -15988.1013       2.2207   419.0
2.2000      -15985.8794  -15987.9980       2.1186   399.8
2.2500      -15985.8814  -15988.4469       2.5654   484.1
2.3000      -15985.8830  -15988.3621       2.4791   467.8
2.3500      -15985.8810  -15988.2954       2.4144   455.6
2.4000      -15985.8807  -15988.0955       2.2148   417.9
2.4500      -15985.8831  -15988.1125       2.2293   420.7
2.5000      -15985.8812  -15988.2298       2.3486   443.2
2.5500      -15985.8823  -15988.2204       2.3382   441.2
2.6000      -15985.8822  -15988.2282       2.3460   442.7
2.6500      -15985.8833  -15988.4114       2.5282   477.0
2.7000      -15985.8825  -15987.9608       2.0783   392.2
2.7500      -15985.8821  -15988.0620       2.1799   411.3
2.8000      -15985.8816  -15988.1767       2.2952   433.1
2.8500      -15985.8797  -15988.1106       2.2309   420.9
2.9000      -15985.8793  -15988.3383       2.4590   464.0
2.9500      -15985.8795  -15988.1580       2.2785   429.9
3.0000      -15985.8792  -15987.8126       1.9334   364.8
3.0500      -15985.8770  -15988.1079       2.2309   420.9
3.1000      -15985.8834  -15988.2587       2.3753   448.2
3.1500      -15985.8828  -15988.2923       2.4095   454.6
