Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -23086.5352  -23088.4447       1.9095   388.8
0.0500      -23086.5430  -23088.9966       2.4536   499.5
0.1000      -23086.5387  -23088.7467       2.2081   449.5
0.1500      -23086.5396  -23089.0670       2.5274   514.5
0.2000      -23086.5393  -23088.9753       2.4360   495.9
0.2500      -23086.5393  -23089.0695       2.5302   515.1
0.3000      -23086.5343  -23088.6493       2.1150   430.6
0.3500      -23086.5367  -23088.8723       2.3356   475.5
0.4000      -23086.5388  -23088.7900       2.2512   458.3
0.4500      -23086.5344  -23088.3473       1.8130   369.1
0.5000      -23086.5391  -23089.1985       2.6594   541.4
0.5500      -23086.5339  -23088.4764       1.9425   395.5
0.6000      -23086.5375  -23088.7271       2.1897   445.8
0.6500      -23086.5343  -23088.5676       2.0333   414.0
0.7000      -23086.5365  -23088.4965       1.9600   399.0
0.7500      -23086.5349  -23088.7651       2.2302   454.0
0.8000      -23086.5379  -23088.6386       2.1007   427.7
0.8500      -23086.5385  -23088.9303       2.3918   486.9
0.9000      -23086.5381  -23089.0670       2.5289   514.8
0.9500      -23086.5354  -23088.6562       2.1208   431.8
1.0000      -23086.5373  -23088.6579       2.1205   431.7
1.0500      -23086.5371  -23089.0026       2.4655   501.9
1.1000      -23086.5372  -23088.7037       2.1666   441.1
1.1500      -23086.5405  -23089.1603       2.6198   533.4
1.2000      -23086.5362  -23088.7710       2.2348   455.0
1.2500      -23086.5370  -23088.6666       2.1296   433.6
1.3000      -23086.5396  -23089.2209       2.6813   545.9
1.3500      -23086.5374  -23088.5498       2.0124   409.7
1.4000      -23086.5380  -23088.7903       2.2523   458.5
1.4500      -23086.5366  -23088.5876       2.0510   417.6
1.5000      -23086.5404  -23089.1525       2.6122   531.8
1.5500      -23086.5388  -23089.0585       2.5197   513.0
1.6000      -23086.5382  -23088.8810       2.3428   477.0
1.6500      -23086.5389  -23088.9722       2.4333   495.4
1.7000      -23086.5358  -23089.0772       2.5414   517.4
1.7500      -23086.5391  -23088.8489       2.3098   470.2
1.8000      -23086.5386  -23088.7786       2.2400   456.0
1.8500      -23086.5389  -23089.1326       2.5937   528.0
1.9000      -23086.5381  -23089.0569       2.5187   512.8
1.9500      -23086.5383  -23088.9835       2.4452   497.8
2.0000      -23086.5420  -23088.9625       2.4205   492.8
2.0500      -23086.5370  -23089.0989       2.5620   521.6
2.1000      -23086.5417  -23088.9611       2.4195   492.6
2.1500      -23086.5407  -23089.1632       2.6225   533.9
2.2000      -23086.5379  -23088.9878       2.4499   498.8
2.2500      -23086.5380  -23088.8379       2.2999   468.2
2.3000      -23086.5454  -23089.3786       2.8332   576.8
2.3500      -23086.5348  -23088.6107       2.0758   422.6
2.4000      -23086.5431  -23089.0865       2.5434   517.8
2.4500      -23086.5389  -23088.8544       2.3155   471.4
2.5000      -23086.5349  -23088.5814       2.0466   416.7
2.5500      -23086.5409  -23089.0616       2.5207   513.2
2.6000      -23086.5423  -23088.8568       2.3145   471.2
2.6500      -23086.5341  -23088.5405       2.0063   408.5
2.7000      -23086.5388  -23088.5175       1.9787   402.8
2.7500      -23086.5382  -23088.8142       2.2761   463.4
2.8000      -23086.5389  -23088.9697       2.4308   494.9
2.8500      -23086.5397  -23089.1866       2.6469   538.9
2.9000      -23086.5348  -23088.6874       2.1526   438.2
2.9500      -23086.5379  -23089.2071       2.6692   543.4
3.0000      -23086.5387  -23088.9257       2.3870   486.0
3.0500      -23086.5375  -23088.9524       2.4149   491.6
3.1000      -23086.5380  -23088.8450       2.3070   469.7
3.1500      -23086.5335  -23088.5247       1.9912   405.4
3.2000      -23086.5369  -23088.8152       2.2783   463.8
3.2500      -23086.5363  -23088.9532       2.4169   492.0
