Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -6889.6145   -6890.6375       1.0229   416.5
0.0500       -6889.6139   -6890.4897       0.8758   356.6
0.1000       -6889.6150   -6890.6296       1.0146   413.1
0.1500       -6889.6140   -6890.8214       1.2074   491.6
0.2000       -6889.6147   -6890.6043       0.9897   403.0
0.2500       -6889.6171   -6890.7812       1.1641   474.0
0.3000       -6889.6152   -6890.7369       1.1217   456.7
0.3500       -6889.6135   -6890.5579       0.9445   384.6
0.4000       -6889.6138   -6890.6514       1.0376   422.5
0.4500       -6889.6165   -6890.8010       1.1846   482.3
0.5000       -6889.6155   -6890.7426       1.1271   458.9
0.5500       -6889.6145   -6890.6175       1.0030   408.4
0.6000       -6889.6145   -6890.7749       1.1605   472.5
0.6500       -6889.6150   -6890.5360       0.9209   375.0
0.7000       -6889.6172   -6890.9037       1.2865   523.8
0.7500       -6889.6130   -6890.3701       0.7571   308.3
0.8000       -6889.6143   -6890.6733       1.0590   431.2
0.8500       -6889.6141   -6890.7077       1.0935   445.3
0.9000       -6889.6168   -6890.9111       1.2943   527.0
0.9500       -6889.6154   -6890.6161       1.0007   407.5
1.0000       -6889.6111   -6890.3674       0.7563   307.9
1.0500       -6889.6144   -6890.6666       1.0521   428.4
1.1000       -6889.6157   -6890.6959       1.0802   439.8
1.1500       -6889.6160   -6890.8032       1.1871   483.4
1.2000       -6889.6127   -6890.5222       0.9095   370.3
1.2500       -6889.6140   -6890.7137       1.0997   447.8
1.3000       -6889.6146   -6890.6421       1.0275   418.4
1.3500       -6889.6153   -6890.8621       1.2467   507.6
1.4000       -6889.6141   -6890.6189       1.0048   409.1
1.4500       -6889.6125   -6890.5512       0.9387   382.2
1.5000       -6889.6149   -6890.5868       0.9719   395.7
1.5500       -6889.6177   -6890.9634       1.3457   547.9
1.6000       -6889.6129   -6890.4436       0.8307   338.2
1.6500       -6889.6141   -6890.7257       1.1117   452.6
1.7000       -6889.6146   -6890.6051       0.9904   403.3
1.7500       -6889.6123   -6890.4446       0.8323   338.9
1.8000       -6889.6155   -6890.8986       1.2831   522.4
1.8500       -6889.6120   -6890.4823       0.8703   354.4
1.9000       -6889.6152   -6890.7131       1.0979   447.0
1.9500       -6889.6132   -6890.4950       0.8818   359.0
2.0000       -6889.6146   -6890.6383       1.0237   416.8
2.0500       -6889.6163   -6890.7241       1.1078   451.1
2.1000       -6889.6132   -6890.5925       0.9793   398.7
2.1500       -6889.6149   -6890.6753       1.0605   431.8
2.2000       -6889.6146   -6890.6820       1.0674   434.6
2.2500       -6889.6125   -6890.5397       0.9272   377.5
2.3000       -6889.6160   -6890.7590       1.1431   465.4
2.3500       -6889.6169   -6890.8250       1.2082   491.9
2.4000       -6889.6146   -6890.6065       0.9919   403.9
2.4500       -6889.6133   -6890.7146       1.1012   448.4
2.5000       -6889.6152   -6890.4978       0.8827   359.4
2.5500       -6889.6168   -6890.8604       1.2435   506.3
2.6000       -6889.6157   -6890.7266       1.1109   452.3
2.6500       -6889.6148   -6890.7463       1.1315   460.7
2.7000       -6889.6165   -6890.6808       1.0642   433.3
2.7500       -6889.6152   -6890.6224       1.0071   410.1
2.8000       -6889.6158   -6890.7828       1.1670   475.2
2.8500       -6889.6159   -6890.8025       1.1866   483.2
2.9000       -6889.6139   -6890.6491       1.0351   421.5
2.9500       -6889.6150   -6890.6546       1.0395   423.3
3.0000       -6889.6131   -6890.5968       0.9836   400.5
3.0500       -6889.6126   -6890.7581       1.1455   466.4
3.1000       -6889.6140   -6890.6584       1.0444   425.3
3.1500       -6889.6176   -6890.9033       1.2857   523.5
3.2000       -6889.6149   -6890.4806       0.8657   352.5
3.2500       -6889.6127   -6890.6160       1.0034   408.5
3.3000       -6889.6132   -6890.7609       1.1477   467.3
3.3500       -6889.6115   -6890.3666       0.7551   307.5
3.4000       -6889.6132   -6890.6537       1.0405   423.7
3.4500       -6889.6137   -6890.7796       1.1659   474.7
3.5000       -6889.6144   -6890.7785       1.1641   474.0
3.5500       -6889.6146   -6890.7139       1.0993   447.6
3.6000       -6889.6159   -6890.6485       1.0326   420.5
3.6500       -6889.6156   -6890.8003       1.1847   482.4
3.7000       -6889.6139   -6890.5719       0.9580   390.1
3.7500       -6889.6154   -6890.7540       1.1386   463.6
3.8000       -6889.6132   -6890.6257       1.0125   412.3
3.8500       -6889.6136   -6890.3732       0.7596   309.3
3.9000       -6889.6156   -6890.7392       1.1236   457.5
3.9500       -6889.6144   -6890.7802       1.1659   474.7
4.0000       -6889.6136   -6890.4738       0.8602   350.2
4.0500       -6889.6156   -6890.6567       1.0412   423.9
4.1000       -6889.6132   -6890.5568       0.9436   384.2
4.1500       -6889.6151   -6890.7828       1.1677   475.5
4.2000       -6889.6157   -6890.6352       1.0195   415.1
4.2500       -6889.6151   -6890.6276       1.0125   412.3
4.3000       -6889.6164   -6890.6903       1.0738   437.2
4.3500       -6889.6130   -6890.4194       0.8064   328.3
4.4000       -6889.6146   -6890.5728       0.9582   390.2
4.4500       -6889.6168   -6890.7836       1.1668   475.1
4.5000       -6889.6151   -6890.5352       0.9201   374.6
4.5500       -6889.6155   -6890.8591       1.2436   506.4
4.6000       -6889.6118   -6890.5240       0.9122   371.4
4.6500       -6889.6161   -6890.6945       1.0784   439.1
4.7000       -6889.6169   -6890.7722       1.1553   470.4
4.7500       -6889.6153   -6890.6282       1.0129   412.4
4.8000       -6889.6143   -6890.7383       1.1239   457.6
4.8500       -6889.6124   -6890.5425       0.9301   378.7
4.9000       -6889.6129   -6890.5218       0.9089   370.1
4.9500       -6889.6153   -6890.6692       1.0539   429.1
5.0000       -6889.6144   -6890.8435       1.2291   500.5
5.0500       -6889.6155   -6890.5878       0.9723   395.9
5.1000       -6889.6153   -6890.7749       1.1596   472.2
5.1500       -6889.6133   -6890.5266       0.9133   371.9
5.2000       -6889.6163   -6890.6005       0.9843   400.8
5.2500       -6889.6140   -6890.6147       1.0007   407.5
5.3000       -6889.6136   -6890.8495       1.2358   503.2
5.3500       -6889.6143   -6890.4944       0.8802   358.4
5.4000       -6889.6150   -6890.7684       1.1534   469.6
5.4500       -6889.6141   -6890.5340       0.9199   374.6
5.5000       -6889.6139   -6890.8403       1.2264   499.4
5.5500       -6889.6129   -6890.5583       0.9454   384.9
5.6000       -6889.6146   -6890.6536       1.0390   423.1
5.6500       -6889.6152   -6890.6960       1.0809   440.1
5.7000       -6889.6151   -6890.8216       1.2065   491.3
5.7500       -6889.6140   -6890.3977       0.7838   319.1
5.8000       -6889.6145   -6890.5615       0.9470   385.6
5.8500       -6889.6134   -6890.4898       0.8764   356.8
5.9000       -6889.6128   -6890.7319       1.1191   455.7
5.9500       -6889.6126   -6890.3923       0.7797   317.5
6.0000       -6889.6163   -6890.8320       1.2157   495.0
6.0500       -6889.6151   -6890.6895       1.0744   437.5
6.1000       -6889.6153   -6890.7920       1.1767   479.1
6.1500       -6889.6139   -6890.7371       1.1232   457.4
6.2000       -6889.6150   -6890.5989       0.9839   400.6
6.2500       -6889.6137   -6890.5169       0.9032   367.8
6.3000       -6889.6125   -6890.6551       1.0426   424.5
6.3500       -6889.6139   -6890.5335       0.9195   374.4
6.4000       -6889.6144   -6890.6226       1.0081   410.5
6.4500       -6889.6146   -6890.8912       1.2766   519.8
6.5000       -6889.6133   -6890.5962       0.9829   400.2
6.5500       -6889.6158   -6890.8012       1.1854   482.7
6.6000       -6889.6140   -6890.6900       1.0760   438.1
6.6500       -6889.6145   -6890.6623       1.0478   426.6
6.7000       -6889.6152   -6890.6865       1.0713   436.2
6.7500       -6889.6142   -6890.6058       0.9915   403.7
6.8000       -6889.6162   -6890.7970       1.1807   480.8
6.8500       -6889.6141   -6890.6122       0.9982   406.4
6.9000       -6889.6122   -6890.6151       1.0028   408.3
6.9500       -6889.6144   -6890.7046       1.0902   443.9
7.0000       -6889.6158   -6890.7371       1.1213   456.6
7.0500       -6889.6146   -6890.6226       1.0080   410.4
7.1000       -6889.6116   -6890.4014       0.7898   321.6
7.1500       -6889.6145   -6890.6383       1.0238   416.9
7.2000       -6889.6158   -6890.6125       0.9967   405.8
7.2500       -6889.6130   -6890.5307       0.9177   373.7
7.3000       -6889.6135   -6890.4822       0.8687   353.7
7.3500       -6889.6153   -6890.6993       1.0840   441.4
7.4000       -6889.6128   -6890.4547       0.8419   342.8
7.4500       -6889.6117   -6890.5186       0.9069   369.3
7.5000       -6889.6131   -6890.5500       0.9370   381.5
7.5500       -6889.6160   -6890.6844       1.0683   435.0
7.6000       -6889.6151   -6890.6478       1.0327   420.5
