Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -5755.1087   -5755.7983       0.6896   444.6
0.0500       -5755.1060   -5755.4749       0.3689   237.9
0.1000       -5755.1069   -5755.5541       0.4472   288.3
0.1500       -5755.1062   -5755.4973       0.3911   252.1
0.2000       -5755.1052   -5755.5337       0.4284   276.2
0.2500       -5755.1069   -5755.5741       0.4673   301.3
0.3000       -5755.1083   -5755.5974       0.4892   315.4
0.3500       -5755.1071   -5755.4904       0.3833   247.1
0.4000       -5755.1065   -5755.5138       0.4073   262.6
0.4500       -5755.1078   -5755.6175       0.5096   328.6
0.5000       -5755.1062   -5755.5362       0.4301   277.3
0.5500       -5755.1060   -5755.5458       0.4398   283.5
0.6000       -5755.1059   -5755.4443       0.3384   218.2
0.6500       -5755.1073   -5755.6244       0.5172   333.4
0.7000       -5755.1077   -5755.6198       0.5121   330.2
0.7500       -5755.1070   -5755.5941       0.4870   314.0
0.8000       -5755.1074   -5755.6359       0.5285   340.7
0.8500       -5755.1062   -5755.5429       0.4366   281.5
0.9000       -5755.1073   -5755.5543       0.4469   288.1
0.9500       -5755.1068   -5755.5745       0.4677   301.5
1.0000       -5755.1077   -5755.6834       0.5757   371.1
1.0500       -5755.1080   -5755.5924       0.4844   312.3
1.1000       -5755.1059   -5755.4126       0.3067   197.7
1.1500       -5755.1060   -5755.5466       0.4406   284.0
1.2000       -5755.1071   -5755.5008       0.3937   253.8
1.2500       -5755.1068   -5755.6290       0.5222   336.7
1.3000       -5755.1066   -5755.5077       0.4012   258.6
1.3500       -5755.1077   -5755.6035       0.4958   319.7
1.4000       -5755.1066   -5755.4459       0.3393   218.7
1.4500       -5755.1060   -5755.5297       0.4237   273.1
1.5000       -5755.1067   -5755.6309       0.5242   337.9
1.5500       -5755.1067   -5755.5585       0.4518   291.3
1.6000       -5755.1080   -5755.6516       0.5436   350.5
1.6500       -5755.1068   -5755.5371       0.4303   277.4
1.7000       -5755.1064   -5755.5778       0.4714   303.9
1.7500       -5755.1076   -5755.6045       0.4969   320.3
1.8000       -5755.1065   -5755.5822       0.4757   306.7
1.8500       -5755.1062   -5755.5183       0.4121   265.7
1.9000       -5755.1071   -5755.4982       0.3911   252.2
1.9500       -5755.1071   -5755.5088       0.4017   259.0
2.0000       -5755.1060   -5755.5141       0.4081   263.1
2.0500       -5755.1075   -5755.6169       0.5094   328.4
