Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -19931.4980  -19932.4344       0.9364   426.1
0.0500      -19931.4970  -19932.2494       0.7524   342.4
0.1000      -19931.4959  -19932.3200       0.8241   375.0
0.1500      -19931.4977  -19932.3709       0.8731   397.4
0.2000      -19931.4934  -19932.1544       0.6609   300.8
0.2500      -19931.4947  -19932.3648       0.8701   396.0
0.3000      -19931.4937  -19932.0250       0.5313   241.8
0.3500      -19931.4942  -19932.2597       0.7655   348.4
0.4000      -19931.4950  -19932.3072       0.8122   369.6
0.4500      -19931.4959  -19932.1755       0.6796   309.3
0.5000      -19931.4969  -19932.5437       1.0468   476.4
0.5500      -19931.4966  -19932.3517       0.8551   389.1
0.6000      -19931.4971  -19932.1965       0.6994   318.3
0.6500      -19931.4938  -19932.1662       0.6724   306.0
0.7000      -19931.4931  -19932.1198       0.6266   285.2
0.7500      -19931.4951  -19932.2569       0.7618   346.7
0.8000      -19931.4951  -19932.3554       0.8603   391.5
0.8500      -19931.4928  -19931.9975       0.5047   229.7
0.9000      -19931.4955  -19932.2160       0.7205   327.9
0.9500      -19931.4947  -19932.2283       0.7336   333.8
1.0000      -19931.4954  -19932.1482       0.6527   297.0
1.0500      -19931.4958  -19932.4104       0.9146   416.2
1.1000      -19931.4945  -19932.2146       0.7201   327.7
1.1500      -19931.4946  -19932.3591       0.8646   393.4
1.2000      -19931.4935  -19932.0506       0.5571   253.5
1.2500      -19931.4947  -19932.3480       0.8534   388.3
1.3000      -19931.4954  -19932.2734       0.7780   354.1
1.3500      -19931.4970  -19932.3288       0.8318   378.5
1.4000      -19931.4961  -19932.3253       0.8291   377.3
1.4500      -19931.4950  -19932.2421       0.7471   340.0
1.5000      -19931.4971  -19932.3379       0.8408   382.6
1.5500      -19931.4951  -19932.2862       0.7910   360.0
1.6000      -19931.4947  -19932.3090       0.8143   370.6
1.6500      -19931.4936  -19932.1108       0.6173   280.9
1.7000      -19931.4937  -19932.1399       0.6462   294.1
1.7500      -19931.4952  -19932.3247       0.8296   377.5
1.8000      -19931.4964  -19932.3183       0.8219   374.0
1.8500      -19931.4960  -19932.2927       0.7967   362.5
1.9000      -19931.4947  -19932.2729       0.7782   354.2
1.9500      -19931.4950  -19932.2362       0.7412   337.3
2.0000      -19931.4945  -19932.2299       0.7354   334.7
2.0500      -19931.4961  -19932.3017       0.8056   366.6
2.1000      -19931.4951  -19932.2901       0.7950   361.8
2.1500      -19931.4942  -19932.0853       0.5912   269.0
2.2000      -19931.4945  -19932.2731       0.7786   354.3
2.2500      -19931.4929  -19932.1387       0.6458   293.9
2.3000      -19931.4950  -19932.2239       0.7289   331.7
2.3500      -19931.4966  -19932.3469       0.8503   387.0
2.4000      -19931.4966  -19932.3319       0.8354   380.2
2.4500      -19931.4947  -19932.2044       0.7097   323.0
2.5000      -19931.4941  -19932.1196       0.6254   284.6
2.5500      -19931.4937  -19932.2154       0.7217   328.4
2.6000      -19931.4947  -19932.2612       0.7665   348.8
2.6500      -19931.4947  -19932.1401       0.6454   293.7
2.7000      -19931.4941  -19932.1187       0.6246   284.2
2.7500      -19931.4945  -19932.2323       0.7378   335.8
2.8000      -19931.4945  -19932.1286       0.6341   288.5
2.8500      -19931.4954  -19932.3274       0.8320   378.6
2.9000      -19931.4967  -19932.2564       0.7598   345.8
2.9500      -19931.4940  -19932.1678       0.6738   306.6
3.0000      -19931.4956  -19932.2631       0.7675   349.3
3.0500      -19931.4963  -19932.3114       0.8150   370.9
3.1000      -19931.4975  -19932.3549       0.8574   390.2
3.1500      -19931.4982  -19932.3625       0.8643   393.3
3.2000      -19931.4958  -19932.3732       0.8774   399.3
3.2500      -19931.4975  -19932.2662       0.7687   349.8
3.3000      -19931.4941  -19932.2756       0.7815   355.6
3.3500      -19931.4935  -19932.1882       0.6947   316.1
3.4000      -19931.4947  -19932.3107       0.8160   371.3
3.4500      -19931.4953  -19932.2344       0.7391   336.4
3.5000      -19931.4957  -19932.2137       0.7180   326.7
3.5500      -19931.4951  -19932.2168       0.7217   328.4
3.6000      -19931.4966  -19932.2778       0.7812   355.5
3.6500      -19931.4978  -19932.3375       0.8397   382.1
3.7000      -19931.4939  -19932.1165       0.6226   283.3
3.7500      -19931.4968  -19932.2875       0.7907   359.8
3.8000      -19931.4974  -19932.4344       0.9369   426.4
3.8500      -19931.4935  -19932.1297       0.6362   289.5
3.9000      -19931.4935  -19932.2635       0.7700   350.4
3.9500      -19931.4955  -19932.3398       0.8444   384.3
4.0000      -19931.4973  -19932.3249       0.8276   376.6
4.0500      -19931.4962  -19932.2071       0.7108   323.5
4.1000      -19931.4957  -19932.1512       0.6555   298.3
4.1500      -19931.4954  -19932.3366       0.8412   382.8
4.2000      -19931.4977  -19932.3324       0.8347   379.9
4.2500      -19931.4964  -19932.2062       0.7098   323.0
4.3000      -19931.4928  -19932.1592       0.6664   303.3
4.3500      -19931.4953  -19932.3163       0.8210   373.6
4.4000      -19931.4956  -19932.2122       0.7166   326.1
4.4500      -19931.4967  -19932.2413       0.7446   338.9
4.5000      -19931.4941  -19932.0911       0.5970   271.7
4.5500      -19931.4932  -19932.2294       0.7362   335.0
4.6000      -19931.4949  -19932.1230       0.6281   285.8
4.6500      -19931.4969  -19932.2182       0.7213   328.2
4.7000      -19931.4957  -19932.3435       0.8478   385.8
4.7500      -19931.4949  -19932.2606       0.7656   348.4
4.8000      -19931.4956  -19932.2801       0.7846   357.0
4.8500      -19931.4967  -19932.2863       0.7896   359.3
4.9000      -19931.4939  -19932.1895       0.6956   316.6
4.9500      -19931.4954  -19932.3307       0.8353   380.1
5.0000      -19931.4953  -19932.1224       0.6271   285.4
5.0500      -19931.4938  -19932.1382       0.6444   293.3
5.1000      -19931.4957  -19932.3074       0.8116   369.4
5.1500      -19931.4970  -19932.4410       0.9439   429.6
5.2000      -19931.4946  -19932.1939       0.6993   318.2
5.2500      -19931.4950  -19932.1637       0.6687   304.3
5.3000      -19931.4959  -19932.2814       0.7855   357.5
5.3500      -19931.4937  -19932.2595       0.7658   348.5
5.4000      -19931.4958  -19932.2575       0.7617   346.7
5.4500      -19931.4968  -19932.2705       0.7737   352.1
5.5000      -19931.4950  -19932.2204       0.7254   330.1
5.5500      -19931.4955  -19932.1953       0.6998   318.5
5.6000      -19931.4959  -19932.2934       0.7975   362.9
5.6500      -19931.4927  -19932.0206       0.5279   240.2
5.7000      -19931.4951  -19932.2838       0.7887   358.9
5.7500      -19931.4976  -19932.3731       0.8755   398.4
5.8000      -19931.4970  -19932.2866       0.7896   359.3
5.8500      -19931.4951  -19932.2079       0.7129   324.4
5.9000      -19931.4951  -19932.2568       0.7616   346.6
5.9500      -19931.4948  -19932.3080       0.8132   370.0
6.0000      -19931.4949  -19932.2675       0.7726   351.6
6.0500      -19931.4950  -19932.1816       0.6866   312.5
6.1000      -19931.4937  -19932.1463       0.6526   297.0
6.1500      -19931.4949  -19932.2323       0.7374   335.6
6.2000      -19931.4980  -19932.4061       0.9081   413.2
6.2500      -19931.4969  -19932.4552       0.9583   436.1
6.3000      -19931.4924  -19932.0251       0.5327   242.4
6.3500      -19931.4957  -19932.2213       0.7255   330.2
6.4000      -19931.4958  -19932.3156       0.8197   373.1
6.4500      -19931.4940  -19932.2573       0.7633   347.3
6.5000      -19931.4940  -19932.1366       0.6426   292.5
6.5500      -19931.4966  -19932.2651       0.7685   349.7
6.6000      -19931.4955  -19932.2412       0.7457   339.3
6.6500      -19931.4943  -19932.0545       0.5602   255.0
6.7000      -19931.4943  -19932.2289       0.7346   334.3
6.7500      -19931.4951  -19932.3159       0.8208   373.5
6.8000      -19931.4953  -19932.2540       0.7587   345.2
6.8500      -19931.4956  -19932.2208       0.7252   330.0
6.9000      -19931.4949  -19932.1562       0.6614   301.0
6.9500      -19931.4967  -19932.4148       0.9181   417.8
7.0000      -19931.4991  -19932.3278       0.8286   377.1
7.0500      -19931.4959  -19932.2136       0.7176   326.6
7.1000      -19931.4944  -19932.2681       0.7737   352.1
7.1500      -19931.4940  -19932.0538       0.5598   254.8
7.2000      -19931.4978  -19932.3334       0.8355   380.2
7.2500      -19931.4956  -19932.2214       0.7258   330.3
7.3000      -19931.4956  -19932.3582       0.8626   392.5
7.3500      -19931.4974  -19932.2729       0.7755   352.9
7.4000      -19931.4964  -19932.3002       0.8037   365.8
7.4500      -19931.4943  -19932.2780       0.7837   356.6
7.5000      -19931.4945  -19932.1507       0.6562   298.6
7.5500      -19931.4955  -19932.3084       0.8129   370.0
7.6000      -19931.4932  -19932.1481       0.6549   298.0
7.6500      -19931.4956  -19932.2342       0.7386   336.1
7.7000      -19931.4961  -19932.2143       0.7182   326.8
7.7500      -19931.4952  -19932.1785       0.6833   311.0
7.8000      -19931.4947  -19932.2697       0.7749   352.7
7.8500      -19931.4983  -19932.3116       0.8133   370.1
7.9000      -19931.4957  -19932.2004       0.7047   320.7
7.9500      -19931.4927  -19932.1010       0.6083   276.8
8.0000      -19931.4961  -19932.1791       0.6830   310.8
8.0500      -19931.4988  -19932.4330       0.9342   425.2
8.1000      -19931.4950  -19932.1474       0.6524   296.9
8.1500      -19931.4964  -19932.2535       0.7572   344.6
8.2000      -19931.4981  -19932.3499       0.8518   387.6
8.2500      -19931.4953  -19932.2108       0.7155   325.6
8.3000      -19931.4940  -19932.1760       0.6819   310.3
8.3500      -19931.4966  -19932.3002       0.8037   365.7
8.4000      -19931.4954  -19932.2931       0.7977   363.0
8.4500      -19931.4925  -19932.1215       0.6290   286.2
8.5000      -19931.4951  -19932.1476       0.6525   297.0
8.5500      -19931.4964  -19932.3657       0.8693   395.6
8.6000      -19931.4965  -19932.2449       0.7484   340.6
8.6500      -19931.4924  -19931.9632       0.4708   214.3
8.7000      -19931.4968  -19932.3117       0.8148   370.8
8.7500      -19931.4981  -19932.3445       0.8464   385.2
8.8000      -19931.4965  -19932.2519       0.7554   343.8
8.8500      -19931.4934  -19932.2047       0.7113   323.7
8.9000      -19931.4967  -19932.2668       0.7701   350.4
8.9500      -19931.5003  -19932.4573       0.9570   435.5
9.0000      -19931.4931  -19932.0210       0.5279   240.2
9.0500      -19931.4936  -19932.0615       0.5679   258.4
9.1000      -19931.4970  -19932.3465       0.8495   386.6
9.1500      -19931.4958  -19932.3078       0.8120   369.5
9.2000      -19931.4930  -19932.1721       0.6791   309.0
9.2500      -19931.4973  -19932.2977       0.8005   364.3
9.3000      -19931.4969  -19932.3191       0.8222   374.2
