Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17637.3563  -17638.2480       0.8918   328.5
0.0800      -17637.2850  -17638.1367       0.8517   313.8
0.1600      -17637.2843  -17638.3359       1.0516   387.4
0.2400      -17637.2515  -17638.0586       0.8071   297.3
0.3200      -17637.2978  -17638.4727       1.1748   432.8
0.4000      -17637.2413  -17638.0039       0.7626   281.0
0.4800      -17637.3070  -17638.1895       0.8825   325.1
0.5600      -17637.2808  -17638.4258       1.1450   421.8
0.6400      -17637.2522  -17638.2832       1.0310   379.8
0.7200      -17637.2572  -17638.3945       1.1374   419.0
0.8000      -17637.2799  -17638.3984       1.1185   412.1
0.8800      -17637.2511  -17638.1074       0.8563   315.5
0.9600      -17637.2372  -17638.2734       1.0362   381.7
1.0400      -17637.2219  -17638.1270       0.9050   333.4
1.1200      -17637.2705  -17638.4336       1.1631   428.5
1.2000      -17637.2485  -17638.3984       1.1500   423.6
1.2800      -17637.2462  -17638.1328       0.8867   326.6
1.3600      -17637.2202  -17638.0020       0.7818   288.0
1.4400      -17637.2542  -17638.2871       1.0329   380.5
1.5200      -17637.2217  -17638.4375       1.2158   447.9
1.6000      -17637.2578  -17638.2852       1.0274   378.5
1.6800      -17637.2548  -17638.1621       0.9073   334.3
1.7600      -17637.2450  -17638.1445       0.8996   331.4
1.8400      -17637.2370  -17638.2441       1.0071   371.0
1.9200      -17637.2443  -17638.4355       1.1913   438.9
2.0000      -17637.2153  -17638.2598       1.0445   384.8
2.0800      -17637.2262  -17638.1055       0.8793   323.9
2.1600      -17637.2151  -17637.9785       0.7634   281.2
2.2400      -17637.2266  -17638.2520       1.0254   377.8
2.3200      -17637.2102  -17638.5410       1.3309   490.3
2.4000      -17637.1933  -17638.2168       1.0235   377.1
2.4800      -17637.2062  -17638.3555       1.1493   423.4
2.5600      -17637.1796  -17638.0312       0.8516   313.7
2.6400      -17637.1960  -17638.3047       1.1087   408.4
2.7200      -17637.1536  -17637.8906       0.7371   271.5
2.8000      -17637.1404  -17638.0977       0.9573   352.7
2.8800      -17637.1483  -17638.4141       1.2657   466.3
2.9600      -17637.1433  -17637.9414       0.7982   294.0
3.0400      -17637.1112  -17637.9707       0.8595   316.6
3.1200      -17637.1614  -17638.1719       1.0104   372.2
