Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -7398.7967   -7399.6343       0.8376   405.0
0.0500       -7398.7986   -7399.7169       0.9183   444.0
0.1000       -7398.7987   -7399.5544       0.7557   365.4
0.1500       -7398.7969   -7399.6543       0.8575   414.6
0.2000       -7398.7970   -7399.6456       0.8486   410.3
0.2500       -7398.7965   -7399.4643       0.6678   322.9
0.3000       -7398.7995   -7399.7528       0.9533   460.9
0.3500       -7398.7984   -7399.7248       0.9264   447.9
0.4000       -7398.7967   -7399.4455       0.6487   313.7
0.4500       -7398.7978   -7399.6109       0.8132   393.2
0.5000       -7398.7994   -7399.7654       0.9660   467.1
0.5500       -7398.8001   -7399.8166       1.0165   491.5
0.6000       -7398.7965   -7399.6007       0.8042   388.9
0.6500       -7398.7980   -7399.6020       0.8040   388.7
0.7000       -7398.7985   -7399.5360       0.7375   356.6
0.7500       -7398.7973   -7399.7870       0.9897   478.5
0.8000       -7398.7981   -7399.8200       1.0219   494.1
0.8500       -7398.7975   -7399.7193       0.9219   445.8
0.9000       -7398.7969   -7399.5363       0.7394   357.5
0.9500       -7398.7988   -7399.5484       0.7496   362.4
1.0000       -7398.7998   -7399.8105       1.0107   488.7
1.0500       -7398.7967   -7399.6837       0.8871   428.9
1.1000       -7398.7973   -7399.5736       0.7763   375.4
1.1500       -7398.8002   -7399.7508       0.9506   459.6
1.2000       -7398.7978   -7399.5569       0.7591   367.1
1.2500       -7398.7985   -7399.7058       0.9073   438.7
1.3000       -7398.8000   -7399.7014       0.9014   435.8
1.3500       -7398.7986   -7399.5418       0.7432   359.3
1.4000       -7398.7972   -7399.6255       0.8283   400.5
1.4500       -7398.7988   -7399.7728       0.9740   470.9
1.5000       -7398.7998   -7399.7931       0.9934   480.3
1.5500       -7398.7974   -7399.6893       0.8919   431.3
1.6000       -7398.7970   -7399.5347       0.7377   356.7
1.6500       -7398.7979   -7399.7852       0.9873   477.4
1.7000       -7398.7984   -7400.0196       1.2212   590.5
1.7500       -7398.7971   -7399.4927       0.6956   336.3
1.8000       -7398.7979   -7399.6316       0.8337   403.1
1.8500       -7398.7987   -7399.5788       0.7801   377.2
1.9000       -7398.7993   -7399.8143       1.0150   490.8
1.9500       -7398.7977   -7399.5859       0.7882   381.1
2.0000       -7398.7967   -7399.4721       0.6754   326.6
2.0500       -7398.7967   -7399.6340       0.8372   404.8
2.1000       -7398.7966   -7399.5836       0.7870   380.5
2.1500       -7398.8003   -7399.9498       1.1495   555.8
2.2000       -7398.7982   -7399.7325       0.9343   451.7
2.2500       -7398.7981   -7399.6982       0.9001   435.2
2.3000       -7398.7978   -7399.5958       0.7981   385.9
2.3500       -7398.7959   -7399.5700       0.7741   374.3
2.4000       -7398.7981   -7399.7722       0.9741   471.0
2.4500       -7398.7983   -7399.7207       0.9224   446.0
2.5000       -7398.7992   -7399.8255       1.0263   496.3
2.5500       -7398.7978   -7399.6425       0.8446   408.4
2.6000       -7398.7985   -7399.7787       0.9802   473.9
2.6500       -7398.7983   -7399.7283       0.9300   449.7
2.7000       -7398.7970   -7399.5876       0.7906   382.3
2.7500       -7398.7994   -7399.7369       0.9375   453.3
2.8000       -7398.7990   -7399.6334       0.8344   403.5
