Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -22154.4688  -22155.2225       0.7537   416.5
0.0500      -22154.4686  -22155.0085       0.5399   298.4
0.1000      -22154.4687  -22154.9883       0.5196   287.2
0.1500      -22154.4686  -22154.9675       0.4989   275.7
0.2000      -22154.4688  -22155.0597       0.5909   326.6
0.2500      -22154.4686  -22154.9984       0.5298   292.8
0.3000      -22154.4687  -22154.9547       0.4860   268.6
0.3500      -22154.4688  -22155.0691       0.6003   331.7
0.4000      -22154.4686  -22155.0247       0.5560   307.3
0.4500      -22154.4686  -22154.9346       0.4660   257.5
0.5000      -22154.4685  -22155.0583       0.5898   325.9
0.5500      -22154.4685  -22154.9395       0.4710   260.3
0.6000      -22154.4686  -22155.0367       0.5681   313.9
0.6500      -22154.4687  -22154.9492       0.4805   265.5
0.7000      -22154.4686  -22154.9713       0.5027   277.8
0.7500      -22154.4685  -22155.0041       0.5356   296.0
0.8000      -22154.4687  -22155.0294       0.5607   309.9
0.8500      -22154.4689  -22155.0885       0.6196   342.4
0.9000      -22154.4688  -22154.9789       0.5101   281.9
0.9500      -22154.4687  -22155.0766       0.6079   335.9
1.0000      -22154.4687  -22155.0455       0.5767   318.7
1.0500      -22154.4687  -22155.0887       0.6200   342.6
1.1000      -22154.4687  -22154.9603       0.4916   271.6
1.1500      -22154.4688  -22155.1032       0.6344   350.6
1.2000      -22154.4688  -22155.0710       0.6022   332.8
1.2500      -22154.4685  -22154.8781       0.4096   226.4
1.3000      -22154.4686  -22155.0058       0.5372   296.9
1.3500      -22154.4687  -22154.9935       0.5248   290.0
1.4000      -22154.4688  -22154.9752       0.5063   279.8
1.4500      -22154.4688  -22155.1103       0.6415   354.5
1.5000      -22154.4687  -22154.8638       0.3951   218.3
1.5500      -22154.4686  -22155.0657       0.5971   330.0
1.6000      -22154.4685  -22154.9959       0.5273   291.4
1.6500      -22154.4687  -22155.0479       0.5792   320.1
1.7000      -22154.4688  -22155.0363       0.5675   313.6
1.7500      -22154.4687  -22154.9681       0.4994   276.0
1.8000      -22154.4685  -22154.9628       0.4943   273.1
1.8500      -22154.4685  -22154.9579       0.4894   270.4
1.9000      -22154.4689  -22155.1181       0.6492   358.7
1.9500      -22154.4689  -22155.0346       0.5657   312.6
2.0000      -22154.4687  -22154.9505       0.4818   266.3
2.0500      -22154.4687  -22154.9736       0.5049   279.0
2.1000      -22154.4688  -22155.1671       0.6982   385.8
2.1500      -22154.4687  -22154.9340       0.4653   257.1
2.2000      -22154.4687  -22154.9937       0.5250   290.1
2.2500      -22154.4687  -22155.0361       0.5674   313.5
2.3000      -22154.4687  -22155.1239       0.6552   362.1
2.3500      -22154.4685  -22154.9714       0.5029   277.9
2.4000      -22154.4687  -22155.0544       0.5857   323.7
2.4500      -22154.4687  -22154.9838       0.5151   284.6
2.5000      -22154.4690  -22155.1641       0.6951   384.1
2.5500      -22154.4689  -22155.0368       0.5679   313.8
2.6000      -22154.4686  -22154.9596       0.4910   271.3
2.6500      -22154.4685  -22154.8638       0.3953   218.4
2.7000      -22154.4688  -22155.0961       0.6272   346.6
2.7500      -22154.4687  -22155.1253       0.6565   362.8
2.8000      -22154.4685  -22154.9173       0.4488   248.0
2.8500      -22154.4686  -22155.0161       0.5475   302.5
2.9000      -22154.4686  -22155.0083       0.5397   298.2
2.9500      -22154.4685  -22154.9640       0.4955   273.8
3.0000      -22154.4685  -22154.8569       0.3883   214.6
3.0500      -22154.4686  -22154.9809       0.5123   283.1
3.1000      -22154.4686  -22155.0999       0.6313   348.9
3.1500      -22154.4685  -22154.9440       0.4755   262.7
3.2000      -22154.4687  -22154.9434       0.4748   262.4
3.2500      -22154.4688  -22154.9623       0.4935   272.7
3.3000      -22154.4687  -22155.1204       0.6517   360.1
3.3500      -22154.4686  -22155.0808       0.6123   338.3
3.4000      -22154.4687  -22155.0272       0.5585   308.6
3.4500      -22154.4688  -22155.0139       0.5451   301.2
3.5000      -22154.4691  -22155.2092       0.7401   409.0
3.5500      -22154.4690  -22155.1478       0.6788   375.1
3.6000      -22154.4687  -22154.9348       0.4661   257.6
3.6500      -22154.4686  -22154.9549       0.4863   268.8
3.7000      -22154.4687  -22155.0983       0.6296   347.9
3.7500      -22154.4688  -22155.0449       0.5761   318.3
3.8000      -22154.4687  -22154.9193       0.4507   249.0
3.8500      -22154.4686  -22154.9077       0.4392   242.7
3.9000      -22154.4686  -22154.9644       0.4958   274.0
3.9500      -22154.4686  -22155.0420       0.5734   316.8
4.0000      -22154.4687  -22155.0280       0.5594   309.1
4.0500      -22154.4687  -22154.8556       0.3869   213.8
4.1000      -22154.4686  -22154.9686       0.5000   276.3
4.1500      -22154.4688  -22155.0941       0.6253   345.6
4.2000      -22154.4685  -22154.9456       0.4771   263.6
4.2500      -22154.4687  -22155.0528       0.5841   322.8
4.3000      -22154.4688  -22155.0370       0.5682   314.0
4.3500      -22154.4687  -22155.1434       0.6747   372.8
4.4000      -22154.4687  -22155.0855       0.6168   340.9
4.4500      -22154.4686  -22154.9673       0.4986   275.5
4.5000      -22154.4686  -22154.9918       0.5231   289.1
4.5500      -22154.4688  -22155.0760       0.6072   335.5
4.6000      -22154.4688  -22155.0756       0.6069   335.4
4.6500      -22154.4685  -22154.8900       0.4215   232.9
