Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -13530.9946  -13531.9310       0.9364   426.1
0.0500      -13530.9935  -13531.8160       0.8226   374.3
0.1000      -13530.9936  -13531.7347       0.7411   337.3
0.1500      -13530.9945  -13531.9280       0.9335   424.8
0.2000      -13530.9950  -13531.9490       0.9540   434.1
0.2500      -13530.9945  -13531.6965       0.7020   319.5
0.3000      -13530.9936  -13531.7613       0.7677   349.4
0.3500      -13530.9949  -13531.8160       0.8212   373.7
0.4000      -13530.9923  -13531.5938       0.6015   273.7
0.4500      -13530.9947  -13531.7299       0.7351   334.5
0.5000      -13530.9933  -13531.6743       0.6810   309.9
0.5500      -13530.9951  -13531.8367       0.8417   383.0
0.6000      -13530.9953  -13531.8992       0.9039   411.3
0.6500      -13530.9934  -13531.7085       0.7151   325.4
0.7000      -13530.9961  -13532.0342       1.0381   472.4
0.7500      -13530.9930  -13531.8162       0.8232   374.6
0.8000      -13530.9950  -13531.6286       0.6336   288.3
0.8500      -13530.9925  -13531.6103       0.6177   281.1
0.9000      -13530.9953  -13531.9706       0.9752   443.8
0.9500      -13530.9944  -13531.8851       0.8907   405.4
1.0000      -13530.9945  -13531.7714       0.7770   353.6
1.0500      -13530.9951  -13531.7180       0.7228   328.9
1.1000      -13530.9937  -13531.8202       0.8265   376.1
1.1500      -13530.9952  -13531.8253       0.8300   377.7
1.2000      -13530.9930  -13531.5536       0.5606   255.1
1.2500      -13530.9941  -13531.6425       0.6484   295.1
1.3000      -13530.9938  -13531.7651       0.7713   351.0
1.3500      -13530.9949  -13531.7807       0.7858   357.6
1.4000      -13530.9941  -13531.7921       0.7980   363.1
1.4500      -13530.9936  -13531.7445       0.7509   341.7
1.5000      -13530.9946  -13531.7934       0.7988   363.5
1.5500      -13530.9938  -13531.8300       0.8362   380.5
1.6000      -13530.9936  -13531.6395       0.6458   293.9
1.6500      -13530.9937  -13531.7445       0.7508   341.7
1.7000      -13530.9946  -13531.9277       0.9330   424.6
1.7500      -13530.9945  -13531.7590       0.7645   347.9
1.8000      -13530.9947  -13531.6660       0.6713   305.5
1.8500      -13530.9940  -13531.7904       0.7964   362.4
1.9000      -13530.9945  -13531.8201       0.8256   375.7
1.9500      -13530.9945  -13531.9642       0.9697   441.3
2.0000      -13530.9939  -13531.8487       0.8548   389.0
2.0500      -13530.9946  -13531.7632       0.7686   349.8
2.1000      -13530.9937  -13531.8036       0.8098   368.5
2.1500      -13530.9949  -13531.7649       0.7700   350.4
2.2000      -13530.9941  -13531.6849       0.6908   314.3
2.2500      -13530.9936  -13531.8380       0.8444   384.3
2.3000      -13530.9942  -13531.9338       0.9396   427.6
2.3500      -13530.9943  -13531.8293       0.8351   380.0
2.4000      -13530.9952  -13531.9249       0.9296   423.1
2.4500      -13530.9949  -13531.8545       0.8596   391.2
2.5000      -13530.9944  -13531.7033       0.7089   322.6
2.5500      -13530.9944  -13531.6603       0.6659   303.1
2.6000      -13530.9932  -13531.6529       0.6596   300.2
2.6500      -13530.9934  -13531.6671       0.6737   306.6
2.7000      -13530.9940  -13531.6684       0.6743   306.9
2.7500      -13530.9961  -13531.7473       0.7512   341.9
2.8000      -13530.9944  -13531.8040       0.8096   368.4
2.8500      -13530.9958  -13531.9901       0.9943   452.5
2.9000      -13530.9938  -13531.7173       0.7235   329.3
2.9500      -13530.9943  -13531.8232       0.8289   377.2
3.0000      -13530.9945  -13531.8501       0.8557   389.4
3.0500      -13530.9952  -13531.8078       0.8126   369.8
3.1000      -13530.9948  -13531.7995       0.8048   366.2
3.1500      -13530.9940  -13531.7141       0.7200   327.7
3.2000      -13530.9939  -13531.7433       0.7494   341.0
3.2500      -13530.9937  -13531.7147       0.7210   328.1
3.3000      -13530.9946  -13531.7695       0.7749   352.7
3.3500      -13530.9941  -13531.6865       0.6924   315.1
3.4000      -13530.9949  -13531.7418       0.7469   339.9
3.4500      -13530.9945  -13531.8240       0.8296   377.5
3.5000      -13530.9938  -13531.7480       0.7542   343.2
3.5500      -13530.9937  -13531.6910       0.6973   317.3
3.6000      -13530.9946  -13531.8210       0.8264   376.1
3.6500      -13530.9948  -13531.8969       0.9021   410.5
3.7000      -13530.9943  -13531.7856       0.7914   360.1
3.7500      -13530.9944  -13531.6821       0.6878   313.0
3.8000      -13530.9940  -13531.8010       0.8070   367.2
3.8500      -13530.9944  -13531.7279       0.7335   333.8
3.9000      -13530.9944  -13531.7534       0.7590   345.4
3.9500      -13530.9936  -13531.7475       0.7539   343.1
4.0000      -13530.9946  -13531.7639       0.7693   350.1
4.0500      -13530.9936  -13531.7337       0.7401   336.8
4.1000      -13530.9949  -13531.8939       0.8990   409.1
4.1500      -13530.9938  -13531.7435       0.7496   341.1
4.2000      -13530.9939  -13531.7089       0.7151   325.4
4.2500      -13530.9938  -13531.6183       0.6245   284.2
4.3000      -13530.9941  -13531.8891       0.8950   407.3
4.3500      -13530.9940  -13531.9518       0.9577   435.8
4.4000      -13530.9939  -13531.7974       0.8035   365.7
4.4500      -13530.9945  -13531.8398       0.8453   384.7
4.5000      -13530.9948  -13531.8399       0.8452   384.6
4.5500      -13530.9936  -13531.6890       0.6954   316.4
4.6000      -13530.9940  -13531.7311       0.7371   335.4
4.6500      -13530.9939  -13531.8317       0.8378   381.3
4.7000      -13530.9947  -13531.9591       0.9644   438.9
4.7500      -13530.9950  -13531.9597       0.9647   439.0
4.8000      -13530.9945  -13531.8043       0.8098   368.5
4.8500      -13530.9932  -13531.6327       0.6395   291.0
4.9000      -13530.9941  -13531.7604       0.7663   348.7
4.9500      -13530.9942  -13531.8550       0.8608   391.7
5.0000      -13530.9937  -13531.7292       0.7355   334.7
5.0500      -13530.9939  -13531.7262       0.7323   333.2
5.1000      -13530.9946  -13531.8474       0.8528   388.1
5.1500      -13530.9941  -13531.7507       0.7566   344.3
5.2000      -13530.9941  -13531.8386       0.8445   384.3
5.2500      -13530.9943  -13531.8407       0.8465   385.2
5.3000      -13530.9943  -13531.8853       0.8910   405.5
5.3500      -13530.9945  -13531.8833       0.8888   404.5
5.4000      -13530.9939  -13531.6908       0.6969   317.1
5.4500      -13530.9933  -13531.5583       0.5650   257.1
5.5000      -13530.9941  -13531.8173       0.8232   374.6
5.5500      -13530.9942  -13531.7992       0.8049   366.3
5.6000      -13530.9936  -13531.5608       0.5672   258.1
5.6500      -13530.9945  -13531.8517       0.8572   390.1
5.7000      -13530.9935  -13531.6957       0.7022   319.6
5.7500      -13530.9940  -13531.6679       0.6739   306.7
5.8000      -13530.9940  -13531.7104       0.7163   326.0
5.8500      -13530.9947  -13531.9957       1.0011   455.6
5.9000      -13530.9941  -13531.7362       0.7421   337.7
5.9500      -13530.9933  -13531.6978       0.7045   320.6
6.0000      -13530.9939  -13531.6697       0.6757   307.5
6.0500      -13530.9935  -13531.7455       0.7520   342.2
6.1000      -13530.9943  -13531.7537       0.7595   345.6
6.1500      -13530.9943  -13531.9561       0.9617   437.7
6.2000      -13530.9943  -13531.8528       0.8586   390.7
6.2500      -13530.9942  -13531.6823       0.6881   313.2
6.3000      -13530.9931  -13531.7006       0.7075   322.0
6.3500      -13530.9947  -13531.9483       0.9536   434.0
6.4000      -13530.9938  -13531.7980       0.8042   366.0
6.4500      -13530.9933  -13531.7184       0.7251   330.0
6.5000      -13530.9944  -13531.9374       0.9430   429.2
6.5500      -13530.9939  -13531.7121       0.7182   326.8
6.6000      -13530.9942  -13531.7736       0.7793   354.7
6.6500      -13530.9950  -13531.9785       0.9835   447.6
6.7000      -13530.9937  -13531.8305       0.8368   380.8
6.7500      -13530.9942  -13531.7865       0.7922   360.5
6.8000      -13530.9931  -13531.6901       0.6970   317.2
6.8500      -13530.9951  -13531.7728       0.7777   353.9
6.9000      -13530.9940  -13531.8103       0.8162   371.5
6.9500      -13530.9956  -13532.0011       1.0055   457.6
7.0000      -13530.9935  -13531.8367       0.8433   383.8
7.0500      -13530.9944  -13531.6637       0.6693   304.6
7.1000      -13530.9936  -13531.7383       0.7447   338.9
7.1500      -13530.9950  -13531.9248       0.9298   423.1
7.2000      -13530.9951  -13531.9530       0.9579   435.9
7.2500      -13530.9941  -13531.6946       0.7006   318.8
7.3000      -13530.9943  -13531.9714       0.9772   444.7
7.3500      -13530.9933  -13531.6815       0.6882   313.2
7.4000      -13530.9932  -13531.6408       0.6477   294.7
7.4500      -13530.9949  -13531.8991       0.9041   411.5
7.5000      -13530.9945  -13531.9644       0.9699   441.4
7.5500      -13530.9955  -13532.0036       1.0081   458.7
7.6000      -13530.9946  -13531.9039       0.9093   413.8
7.6500      -13530.9939  -13531.8284       0.8345   379.8
7.7000      -13530.9944  -13531.8669       0.8725   397.1
7.7500      -13530.9937  -13531.6967       0.7030   319.9
7.8000      -13530.9939  -13531.6274       0.6335   288.3
7.8500      -13530.9946  -13531.8019       0.8073   367.4
7.9000      -13530.9932  -13531.6789       0.6857   312.0
