Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -17637.1160  -17638.0078       0.8918   328.5
0.0500      -17637.1143  -17637.9395       0.8251   304.0
0.1000      -17637.1164  -17638.2441       1.1277   415.5
0.1500      -17637.1131  -17637.9531       0.8400   309.5
0.2000      -17637.1135  -17638.3086       1.1951   440.3
0.2500      -17637.1136  -17638.2285       1.1149   410.7
0.3000      -17637.1140  -17638.3633       1.2493   460.2
0.3500      -17637.1145  -17638.1289       1.0144   373.7
0.4000      -17637.1141  -17638.2441       1.1301   416.3
0.4500      -17637.1140  -17637.9863       0.8723   321.4
0.5000      -17637.1141  -17638.0840       0.9699   357.3
0.5500      -17637.1142  -17638.1426       1.0284   378.8
0.6000      -17637.1145  -17638.2949       1.1804   434.9
0.6500      -17637.1138  -17638.1777       1.0640   392.0
0.7000      -17637.1144  -17638.1504       1.0359   381.6
0.7500      -17637.1165  -17638.2227       1.1062   407.5
0.8000      -17637.1142  -17638.0996       0.9854   363.0
0.8500      -17637.1161  -17638.3184       1.2022   442.9
0.9000      -17637.1150  -17637.9551       0.8401   309.5
0.9500      -17637.1156  -17638.3770       1.2613   464.7
1.0000      -17637.1150  -17638.3164       1.2014   442.6
1.0500      -17637.1141  -17638.3105       1.1965   440.8
1.1000      -17637.1169  -17638.1875       1.0706   394.4
1.1500      -17637.1141  -17638.0293       0.9152   337.2
1.2000      -17637.1140  -17638.1426       1.0286   378.9
1.2500      -17637.1147  -17638.0586       0.9439   347.7
1.3000      -17637.1149  -17638.2715       1.1565   426.1
1.3500      -17637.1140  -17638.1797       1.0657   392.6
1.4000      -17637.1140  -17638.3496       1.2356   455.2
1.4500      -17637.1155  -17638.0547       0.9392   346.0
1.5000      -17637.1150  -17638.2480       1.1331   417.4
1.5500      -17637.1134  -17637.9551       0.8416   310.1
1.6000      -17637.1148  -17638.1445       1.0297   379.3
1.6500      -17637.1152  -17638.0508       0.9356   344.7
1.7000      -17637.1154  -17638.4375       1.3221   487.1
1.7500      -17637.1140  -17638.1875       1.0735   395.5
1.8000      -17637.1146  -17638.1484       1.0339   380.9
1.8500      -17637.1151  -17638.1992       1.0841   399.4
1.9000      -17637.1137  -17638.0391       0.9254   340.9
1.9500      -17637.1156  -17638.3789       1.2633   465.4
2.0000      -17637.1154  -17638.2266       1.1111   409.3
2.0500      -17637.1151  -17638.2383       1.1232   413.8
2.1000      -17637.1143  -17638.1699       1.0556   388.9
2.1500      -17637.1150  -17638.1445       1.0296   379.3
2.2000      -17637.1162  -17638.3457       1.2295   452.9
2.2500      -17637.1154  -17638.1738       1.0584   389.9
2.3000      -17637.1162  -17638.2383       1.1221   413.4
2.3500      -17637.1148  -17638.0352       0.9204   339.1
